cell,k,small_size,pair_type,mean_cos,frac_positive,n_pairs
k5_s2,5,2,within_long,0.7212,1.0,198400
k5_s2,5,2,within_short,0.0915,0.1429,11200
k5_s2,5,2,cut,-0.145,0.0,51200
k5_s2,5,2,cut,-0.145,0.0,51200
k5_s2,5,2,within_long_d1,0.9122,1.0,62
k5_s2,5,2,within_long_d2,0.8408,1.0,60
k5_s2,5,2,within_long_d3,0.8042,1.0,58
k5_s2,5,2,within_long_d4,0.7831,1.0,56
k5_s2,5,2,within_long_d5,0.7735,1.0,54
k5_s2,5,2,within_long_d6,0.7639,1.0,52
k5_s2,5,2,within_long_d7,0.7506,1.0,50
k5_s2,5,2,within_long_d8,0.742,1.0,48
k5_s2,5,2,within_long_d9,0.7402,1.0,46
k5_s2,5,2,within_long_d10,0.7321,1.0,44
k5_s2,5,2,within_long_d11,0.7293,1.0,42
k5_s2,5,2,within_long_d12,0.7205,1.0,40
k5_s2,5,2,within_long_d13,0.7115,1.0,38
k5_s2,5,2,within_long_d14,0.7063,1.0,36
k5_s2,5,2,within_long_d15,0.7187,1.0,34
k5_s2,5,2,within_long_d16,0.7303,1.0,32
k5_s2,5,2,within_long_d17,0.7293,1.0,30
k5_s2,5,2,within_long_d18,0.6635,1.0,28
k5_s2,5,2,within_long_d19,0.542,1.0,26
k5_s2,5,2,within_long_d20,0.5416,1.0,24
k5_s2,5,2,within_long_d21,0.5398,1.0,22
k5_s2,5,2,within_long_d22,0.5363,1.0,20
k5_s2,5,2,within_long_d23,0.5295,1.0,18
k5_s2,5,2,within_long_d24,0.5281,1.0,16
k5_s2,5,2,within_long_d25,0.5261,1.0,14
k5_s2,5,2,within_long_d26,0.5219,1.0,12
k5_s2,5,2,within_long_d27,0.5218,1.0,10
k5_s2,5,2,within_long_d28,0.5189,1.0,8
k5_s2,5,2,within_long_d29,0.5156,1.0,6
k5_s2,5,2,within_long_d30,0.5162,1.0,4
k5_s2,5,2,within_long_d31,0.5117,1.0,2
k5_s3,5,3,within_long,0.7205,1.0,151200
k5_s3,5,3,within_short,0.1069,0.1818,26400
k5_s3,5,3,cut,-0.1841,0.0,67200
k5_s3,5,3,cut,-0.1841,0.0,67200
k5_s3,5,3,within_long_d1,0.9034,1.0,54
k5_s3,5,3,within_long_d2,0.8282,1.0,52
k5_s3,5,3,within_long_d3,0.7897,1.0,50
k5_s3,5,3,within_long_d4,0.7672,1.0,48
k5_s3,5,3,within_long_d5,0.7569,1.0,46
k5_s3,5,3,within_long_d6,0.7471,1.0,44
k5_s3,5,3,within_long_d7,0.7335,1.0,42
k5_s3,5,3,within_long_d8,0.7238,1.0,40
k5_s3,5,3,within_long_d9,0.7201,1.0,38
k5_s3,5,3,within_long_d10,0.7106,1.0,36
k5_s3,5,3,within_long_d11,0.7077,1.0,34
k5_s3,5,3,within_long_d12,0.6997,1.0,32
k5_s3,5,3,within_long_d13,0.694,1.0,30
k5_s3,5,3,within_long_d14,0.6915,1.0,28
k5_s3,5,3,within_long_d15,0.7107,1.0,26
k5_s3,5,3,within_long_d16,0.7298,1.0,24
k5_s3,5,3,within_long_d17,0.7331,1.0,22
k5_s3,5,3,within_long_d18,0.6553,1.0,20
k5_s3,5,3,within_long_d19,0.4989,1.0,18
k5_s3,5,3,within_long_d20,0.4972,1.0,16
k5_s3,5,3,within_long_d21,0.4953,1.0,14
k5_s3,5,3,within_long_d22,0.4913,1.0,12
k5_s3,5,3,within_long_d23,0.4894,1.0,10
k5_s3,5,3,within_long_d24,0.4858,1.0,8
k5_s3,5,3,within_long_d25,0.4797,1.0,6
k5_s3,5,3,within_long_d26,0.4802,1.0,4
k5_s3,5,3,within_long_d27,0.4739,1.0,2
k5_s4,5,4,within_long,0.7886,1.0,110400
k5_s4,5,4,within_short,0.0636,0.2093,48000
k5_s4,5,4,cut,-0.0908,0.0022,76800
k5_s4,5,4,cut,-0.0908,0.0022,76800
k5_s4,5,4,within_long_d1,0.9256,1.0,46
k5_s4,5,4,within_long_d2,0.8619,1.0,44
k5_s4,5,4,within_long_d3,0.8291,1.0,42
k5_s4,5,4,within_long_d4,0.8112,1.0,40
k5_s4,5,4,within_long_d5,0.8029,1.0,38
k5_s4,5,4,within_long_d6,0.7955,1.0,36
k5_s4,5,4,within_long_d7,0.7902,1.0,34
k5_s4,5,4,within_long_d8,0.7852,1.0,32
k5_s4,5,4,within_long_d9,0.7828,1.0,30
k5_s4,5,4,within_long_d10,0.7731,1.0,28
k5_s4,5,4,within_long_d11,0.7645,1.0,26
k5_s4,5,4,within_long_d12,0.7557,1.0,24
k5_s4,5,4,within_long_d13,0.756,1.0,22
k5_s4,5,4,within_long_d14,0.7509,1.0,20
k5_s4,5,4,within_long_d15,0.768,1.0,18
k5_s4,5,4,within_long_d16,0.7897,1.0,16
k5_s4,5,4,within_long_d17,0.7817,1.0,14
k5_s4,5,4,within_long_d18,0.6911,1.0,12
k5_s4,5,4,within_long_d19,0.5438,1.0,10
k5_s4,5,4,within_long_d20,0.5354,1.0,8
k5_s4,5,4,within_long_d21,0.5247,1.0,6
k5_s4,5,4,within_long_d22,0.5163,1.0,4
k5_s4,5,4,within_long_d23,0.4965,1.0,2
k5_s5,5,5,within_long,0.7861,1.0,76000
k5_s5,5,5,within_short,0.3025,0.5714,76000
k5_s5,5,5,cut,0.2061,0.779,80000
