condition,split_a,exact,reach_long,reach_short,cut
baseline,1,1.0,1.0,nan,1.0
baseline,4,1.0,1.0,1.0,1.0
baseline,7,1.0,1.0,1.0,1.0
baseline,8,1.0,1.0,1.0,1.0
baseline,10,1.0,1.0,1.0,1.0
baseline,14,0.0,0.916,1.0,1.0
baseline,17,0.0,0.9613,1.0,0.9941
baseline,20,0.0,0.9949,0.9949,0.9957
zero_attn0,1,0.7733,0.9909,nan,0.9971
zero_attn0,4,0.0,0.9912,0.9311,0.0509
zero_attn0,7,0.0,0.9885,0.9349,0.0399
zero_attn0,8,0.0,0.988,0.9431,0.0362
zero_attn0,10,0.0,0.9878,0.9616,0.0251
zero_attn0,14,0.0,0.9876,0.9793,0.0161
zero_attn0,17,0.0,0.9831,0.9772,0.0192
zero_attn0,20,0.0,0.9824,0.9779,0.019
zero_attn1,1,0.0,0.88,nan,1.0
zero_attn1,4,0.0,0.8712,0.4033,0.9128
zero_attn1,7,0.0,0.869,0.9959,0.3699
zero_attn1,8,0.0,0.8588,0.99,0.3291
zero_attn1,10,0.0,0.8597,0.9367,0.2854
zero_attn1,14,0.0,0.846,0.8382,0.2338
zero_attn1,17,0.0,0.8342,0.8315,0.215
zero_attn1,20,0.0,0.8388,0.828,0.2063
zero_mlp0,1,0.12,0.9795,nan,0.9797
zero_mlp0,4,0.0,0.9997,1.0,0.0001
zero_mlp0,7,0.0,0.9987,0.8159,0.033
zero_mlp0,8,0.0,0.9985,0.8952,0.0128
zero_mlp0,10,0.0,0.9981,0.9804,0.0053
zero_mlp0,14,0.0,0.9975,0.9881,0.0048
zero_mlp0,17,0.0,0.9961,0.9937,0.0045
zero_mlp0,20,0.0,0.9956,0.9951,0.0042
zero_mlp1,1,0.0,0.8718,nan,0.8935
zero_mlp1,4,0.0,0.9848,1.0,0.4387
zero_mlp1,7,0.0,1.0,1.0,0.0
zero_mlp1,8,0.0,1.0,1.0,0.0
zero_mlp1,10,0.0,0.9964,1.0,0.0396
zero_mlp1,14,0.0,0.953,1.0,0.3771
zero_mlp1,17,0.0,0.9745,1.0,0.5118
zero_mlp1,20,0.0,0.9955,0.9945,0.5414
bypass,1,0.0,0.1012,nan,0.9487
bypass,4,0.0,0.1095,0.8333,1.0
bypass,7,0.0,0.1193,0.5238,1.0
bypass,8,0.0,0.123,0.4643,1.0
bypass,10,0.0,0.131,0.3778,1.0
bypass,14,0.0,0.1508,0.2747,1.0
bypass,17,0.0,0.17,0.2279,1.0
bypass,20,0.0,0.1947,0.1947,1.0
