condition,split_a,exact,reach_long,reach_short,cut
baseline,1,1.0,1.0,nan,1.0
baseline,4,1.0,1.0,1.0,1.0
baseline,7,1.0,1.0,1.0,1.0
baseline,8,0.0,0.8235,1.0,1.0
baseline,10,0.0,0.8512,1.0,1.0
baseline,14,0.0,0.9139,1.0,0.9985
baseline,17,0.0,0.9605,1.0,0.9937
baseline,20,0.0,0.9947,0.9947,0.9944
zero_attn0,1,1.0,1.0,nan,1.0
zero_attn0,4,0.0,1.0,1.0,0.0002
zero_attn0,7,0.0,1.0,1.0,0.0001
zero_attn0,8,0.0,1.0,1.0,0.0
zero_attn0,10,0.0,0.9998,1.0,0.0
zero_attn0,14,0.0,1.0,0.9999,0.0001
zero_attn0,17,0.0,1.0,1.0,0.0
zero_attn0,20,0.0,0.9995,1.0,0.0001
zero_attn1,1,0.0,0.9074,nan,0.9971
zero_attn1,4,0.0,0.8983,1.0,0.9287
zero_attn1,7,0.0,0.8895,0.9813,0.3731
zero_attn1,8,0.0,0.8897,0.9093,0.3318
zero_attn1,10,0.0,0.8829,0.8188,0.2831
zero_attn1,14,0.0,0.8702,0.8056,0.2367
zero_attn1,17,0.0,0.8551,0.8275,0.219
zero_attn1,20,0.0,0.8427,0.8373,0.2164
zero_mlp0,1,0.0,0.9887,nan,0.7961
zero_mlp0,4,0.0,0.9241,1.0,0.0411
zero_mlp0,7,0.0,0.9283,0.7206,0.1881
zero_mlp0,8,0.0,0.9406,0.7319,0.1616
zero_mlp0,10,0.0,0.9304,0.7739,0.1325
zero_mlp0,14,0.0,0.9214,0.8457,0.1094
zero_mlp0,17,0.0,0.9175,0.8725,0.0984
zero_mlp0,20,0.0,0.895,0.8952,0.0985
zero_mlp1,1,0.0,0.6843,nan,0.6532
zero_mlp1,4,0.0,0.9165,1.0,0.0024
zero_mlp1,7,0.0,0.8429,1.0,0.604
zero_mlp1,8,0.0,0.7777,1.0,0.9305
zero_mlp1,10,0.0,0.8148,1.0,0.9946
zero_mlp1,14,0.0,0.8908,1.0,0.9862
zero_mlp1,17,0.0,0.9496,1.0,0.98
zero_mlp1,20,0.0,0.9869,0.9871,0.9765
bypass,1,0.0,0.1026,nan,0.9487
bypass,4,0.0,0.1111,1.0,0.9722
bypass,7,0.0,0.1212,0.5714,0.9827
bypass,8,0.0,0.125,0.5,0.9844
bypass,10,0.0,0.1333,0.4,0.9867
bypass,14,0.0,0.1538,0.2857,0.989
bypass,17,0.0,0.1739,0.2353,0.9898
bypass,20,0.0,0.2,0.2,0.99
