condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0,0.7157,nan,1.0
baseline,4,0.0,0.7561,1.0,1.0
baseline,7,0.0,0.8005,1.0,1.0
baseline,8,0.0,0.8159,1.0,1.0
baseline,10,0.0,0.8482,1.0,1.0
baseline,14,0.0,0.9138,1.0,1.0
baseline,17,0.0,0.9605,1.0,1.0
baseline,20,0.0,0.9947,0.9947,1.0
zero_attn0,1,0.3133,0.973,nan,0.9997
zero_attn0,4,0.0,0.9639,0.8978,0.215
zero_attn0,7,0.0,0.9604,0.8949,0.098
zero_attn0,8,0.0,0.9611,0.8883,0.098
zero_attn0,10,0.0,0.952,0.9027,0.0862
zero_attn0,14,0.0,0.9502,0.9095,0.0782
zero_attn0,17,0.0,0.9453,0.9382,0.0655
zero_attn0,20,0.0,0.9341,0.9373,0.071
zero_attn1,1,0.0,0.215,nan,1.0
zero_attn1,4,0.0,0.232,1.0,1.0
zero_attn1,7,0.0,0.2536,0.999,1.0
zero_attn1,8,0.0,0.2607,0.9545,1.0
zero_attn1,10,0.0,0.2779,0.7708,1.0
zero_attn1,14,0.0,0.317,0.5702,1.0
zero_attn1,17,0.0,0.3581,0.4758,1.0
zero_attn1,20,0.0,0.4079,0.4076,1.0
zero_mlp0,1,0.22,0.9994,nan,0.2583
zero_mlp0,4,0.0067,1.0,0.99,0.0188
zero_mlp0,7,0.0,0.9999,0.9943,0.0006
zero_mlp0,8,0.0,0.9999,0.9964,0.002
zero_mlp0,10,0.0,0.9992,0.9982,0.001
zero_mlp0,14,0.0,0.9994,0.9971,0.0017
zero_mlp0,17,0.0,0.9998,0.9968,0.0015
zero_mlp0,20,0.0,0.9981,0.9999,0.001
zero_mlp1,1,0.0,0.8875,nan,0.9063
zero_mlp1,4,0.0,0.9095,1.0,0.7129
zero_mlp1,7,0.0,0.9303,1.0,0.8412
zero_mlp1,8,0.0,0.9465,1.0,0.7788
zero_mlp1,10,0.0,0.9549,1.0,0.5571
zero_mlp1,14,0.0,0.9782,1.0,0.4318
zero_mlp1,17,0.0,0.9954,1.0,0.4137
zero_mlp1,20,0.0,0.9995,0.9994,0.4174
bypass,1,0.0,0.1012,nan,1.0
bypass,4,0.0,0.1095,0.8333,1.0
bypass,7,0.0,0.1193,0.5238,1.0
bypass,8,0.0,0.123,0.4643,1.0
bypass,10,0.0,0.131,0.3778,1.0
bypass,14,0.0,0.1508,0.2747,1.0
bypass,17,0.0,0.17,0.2279,1.0
bypass,20,0.0,0.1947,0.1947,1.0
