condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0,0.7158,nan,1.0
baseline,4,0.0,0.7564,1.0,1.0
baseline,7,0.0,0.8005,1.0,1.0
baseline,8,0.0,0.8159,1.0,1.0
baseline,10,0.0,0.8482,0.9997,1.0
baseline,14,0.0,0.9138,1.0,1.0
baseline,17,0.0,0.9605,1.0,1.0
baseline,20,0.0,0.9947,0.9947,1.0
zero_attn0,1,0.0067,0.9296,nan,0.9997
zero_attn0,4,0.0,0.9248,0.7322,0.3842
zero_attn0,7,0.0,0.9158,0.7168,0.2371
zero_attn0,8,0.0,0.9149,0.7426,0.2132
zero_attn0,10,0.0,0.9092,0.7693,0.1789
zero_attn0,14,0.0,0.896,0.8137,0.155
zero_attn0,17,0.0,0.8848,0.8508,0.1405
zero_attn0,20,0.0,0.8735,0.8665,0.1364
zero_attn1,1,0.0,0.2326,nan,1.0
zero_attn1,4,0.0,0.2503,1.0,1.0
zero_attn1,7,0.0,0.2725,0.9997,1.0
zero_attn1,8,0.0,0.281,0.96,1.0
zero_attn1,10,0.0,0.2995,0.8102,1.0
zero_attn1,14,0.0,0.3425,0.6028,1.0
zero_attn1,17,0.0,0.3836,0.5044,1.0
zero_attn1,20,0.0,0.4368,0.4382,1.0
zero_mlp0,1,0.2,0.9998,nan,0.2615
zero_mlp0,4,0.0,1.0,0.9978,0.0034
zero_mlp0,7,0.0,0.9998,0.9984,0.001
zero_mlp0,8,0.0,1.0,0.9983,0.0
zero_mlp0,10,0.0,0.9997,0.9991,0.0005
zero_mlp0,14,0.0,0.9989,0.9998,0.0008
zero_mlp0,17,0.0,0.9996,0.9993,0.0005
zero_mlp0,20,0.0,0.9989,1.0,0.0004
zero_mlp1,1,0.0,0.8703,nan,0.0711
zero_mlp1,4,0.0,0.9015,1.0,0.6532
zero_mlp1,7,0.0,0.9256,1.0,0.8678
zero_mlp1,8,0.0,0.9324,1.0,0.7907
zero_mlp1,10,0.0,0.9413,1.0,0.5631
zero_mlp1,14,0.0,0.9816,1.0,0.4445
zero_mlp1,17,0.0,0.9944,1.0,0.4689
zero_mlp1,20,0.0,0.9994,0.9995,0.4562
bypass,1,0.0,0.1012,nan,1.0
bypass,4,0.0,0.1095,0.8333,1.0
bypass,7,0.0,0.1193,0.5238,1.0
bypass,8,0.0,0.123,0.4643,1.0
bypass,10,0.0,0.131,0.3778,1.0
bypass,14,0.0,0.1508,0.2747,1.0
bypass,17,0.0,0.17,0.2279,1.0
bypass,20,0.0,0.1947,0.1947,1.0
