condition,split_a,exact,reach_long,reach_short,cut
baseline,1,0.0,0.715,nan,1.0
baseline,4,0.0,0.7554,1.0,1.0
baseline,7,0.0,0.7997,1.0,1.0
baseline,8,0.0,0.8156,1.0,1.0
baseline,10,0.0,0.8478,1.0,1.0
baseline,14,0.0,0.9138,1.0,1.0
baseline,17,0.0,0.9605,1.0,1.0
baseline,20,0.0,0.9947,0.9947,1.0
zero_attn0,1,0.3133,0.9818,nan,0.9768
zero_attn0,4,0.0,0.9796,0.9533,0.1218
zero_attn0,7,0.0,0.9748,0.9305,0.0829
zero_attn0,8,0.0,0.9738,0.9438,0.0589
zero_attn0,10,0.0,0.9739,0.9443,0.0571
zero_attn0,14,0.0,0.9672,0.9574,0.043
zero_attn0,17,0.0,0.9681,0.955,0.0444
zero_attn0,20,0.0,0.9636,0.9636,0.0412
zero_attn1,1,0.0,0.2287,nan,1.0
zero_attn1,4,0.0,0.2476,1.0,1.0
zero_attn1,7,0.0,0.2698,0.9997,1.0
zero_attn1,8,0.0,0.2777,0.9564,1.0
zero_attn1,10,0.0,0.2964,0.8049,1.0
zero_attn1,14,0.0,0.3392,0.5969,1.0
zero_attn1,17,0.0,0.3799,0.5041,1.0
zero_attn1,20,0.0,0.4332,0.4331,1.0
zero_mlp0,1,0.2733,1.0,nan,0.4262
zero_mlp0,4,0.0,1.0,1.0,0.0037
zero_mlp0,7,0.0,1.0,1.0,0.0
zero_mlp0,8,0.0,1.0,1.0,0.0
zero_mlp0,10,0.0,1.0,0.9994,0.0001
zero_mlp0,14,0.0,1.0,1.0,0.0
zero_mlp0,17,0.0,1.0,0.9998,0.0001
zero_mlp0,20,0.0,1.0,1.0,0.0
zero_mlp1,1,0.0,0.9163,nan,0.1376
zero_mlp1,4,0.0,0.9409,1.0,0.5918
zero_mlp1,7,0.0,0.955,1.0,0.6335
zero_mlp1,8,0.0,0.9575,1.0,0.5478
zero_mlp1,10,0.0,0.9724,1.0,0.4199
zero_mlp1,14,0.0,0.9881,1.0,0.3019
zero_mlp1,17,0.0,0.9972,1.0,0.2922
zero_mlp1,20,0.0,0.9998,0.9995,0.2873
bypass,1,0.0,0.1012,nan,1.0
bypass,4,0.0,0.1095,0.8333,1.0
bypass,7,0.0,0.1193,0.5232,1.0
bypass,8,0.0,0.123,0.4643,1.0
bypass,10,0.0,0.131,0.3778,1.0
bypass,14,0.0,0.1507,0.2747,1.0
bypass,17,0.0,0.17,0.2279,1.0
bypass,20,0.0,0.1947,0.1947,1.0
