s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
1,1,58,300,0.0667,,,1.0,0.0667,1.0,1.0,0.9355
1,2,57,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.9039
1,3,56,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.8739
1,4,55,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.845
1,5,54,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.8172
1,6,53,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7906
1,7,52,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.765
1,8,51,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7406
1,9,50,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7172
1,10,49,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.695
1,11,48,300,0.9967,,1.0,1.0,1.0,1.0,1.0,0.6739
1,12,47,300,0.0,,1.0,0.9068,1.0,1.0,1.0,0.5979
1,13,46,300,0.0,,1.0,0.9021,1.0,1.0,1.0,0.5787
1,14,45,300,0.0,,1.0,0.8975,1.0,1.0,0.9721,0.5706
1,15,44,300,0.0,,1.0,0.8952,1.0,1.0,0.8933,0.5846
1,16,43,300,0.0,,1.0,0.886,1.0,1.0,0.8092,0.6007
1,17,42,300,0.0,,0.9996,0.8778,1.0,1.0,0.7428,0.6141
1,18,41,300,0.0,,0.9977,0.875,1.0,1.0,0.6845,0.6294
1,19,40,300,0.0,,0.9952,0.8697,1.0,1.0,0.6332,0.6429
1,20,39,300,0.0,,0.9929,0.8719,1.0,1.0,0.5844,0.6605
1,21,38,300,0.0,,0.9903,0.8671,1.0,1.0,0.5574,0.6671
1,22,37,300,0.0,,0.9852,0.8655,1.0,1.0,0.5449,0.6691
1,23,36,300,0.0,,0.9807,0.8709,1.0,1.0,0.5317,0.6748
1,24,35,300,0.0,,0.973,0.8706,1.0,1.0,0.5372,0.6696
1,25,34,300,0.0,,0.9645,0.876,1.0,1.0,0.5257,0.6744
1,26,33,300,0.0,,0.9547,0.8789,1.0,1.0,0.5127,0.6791
1,27,32,300,0.0,,0.9476,0.8906,1.0,1.0,0.4785,0.6972
1,28,31,300,0.0,,0.9332,0.8967,1.0,1.0,0.4661,0.7018
1,29,30,300,0.0,,0.9183,0.9055,1.0,1.0,0.4688,0.6994
2,2,56,300,0.7267,1.0,1.0,1.0,0.7267,1.0,1.0,0.8739
2,3,55,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8439
2,4,54,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8156
2,5,53,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7883
2,6,52,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7622
