s1,s2,s3,n_graphs,exact,reach_1,reach_2,reach_3,cut_12,cut_13,cut_23,pred_positive_rate
1,1,58,300,0.0,,,1.0,0.0,1.0,1.0,0.9356
1,2,57,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.9039
1,3,56,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.8739
1,4,55,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.845
1,5,54,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.8172
1,6,53,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7906
1,7,52,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.765
1,8,51,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7406
1,9,50,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.7172
1,10,49,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.695
1,11,48,300,1.0,,1.0,1.0,1.0,1.0,1.0,0.6739
1,12,47,300,0.0,,1.0,0.9149,1.0,1.0,1.0,0.6028
1,13,46,300,0.0,,1.0,0.9128,1.0,1.0,1.0,0.5849
1,14,45,300,0.0,,1.0,0.9081,1.0,1.0,0.9707,0.5769
1,15,44,300,0.0,,1.0,0.9059,1.0,1.0,0.8913,0.591
1,16,43,300,0.0,,1.0,0.899,1.0,1.0,0.8008,0.6105
1,17,42,300,0.0,,0.9999,0.8931,1.0,1.0,0.7314,0.626
1,18,41,300,0.0,,0.9984,0.887,1.0,1.0,0.6838,0.6353
1,19,40,300,0.0,,0.996,0.8832,1.0,1.0,0.6211,0.654
1,20,39,300,0.0,,0.9936,0.8827,1.0,1.0,0.5732,0.6699
1,21,38,300,0.0,,0.992,0.8814,1.0,1.0,0.5343,0.6831
1,22,37,300,0.0,,0.9855,0.8788,1.0,1.0,0.5232,0.6839
1,23,36,300,0.0,,0.9793,0.8802,1.0,1.0,0.5131,0.6863
1,24,35,300,0.0,,0.9757,0.8823,1.0,1.0,0.5014,0.6906
1,25,34,300,0.0,,0.9667,0.8857,1.0,1.0,0.4921,0.6937
1,26,33,300,0.0,,0.958,0.8901,1.0,1.0,0.4764,0.7003
1,27,32,300,0.0,,0.9442,0.8923,1.0,1.0,0.4488,0.7112
1,28,31,300,0.0,,0.9367,0.9083,1.0,1.0,0.4148,0.7302
1,29,30,300,0.0,,0.9225,0.9115,1.0,1.0,0.4216,0.7246
2,2,56,300,0.96,1.0,1.0,1.0,0.96,1.0,1.0,0.8734
2,3,55,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8439
2,4,54,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8156
2,5,53,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7883
2,6,52,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7622
2,7,51,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7372
2,8,50,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7133
2,9,49,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6906
2,10,48,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6689
2,11,47,300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6483
2,12,46,300,0.0,1.0,1.0,0.9131,1.0,1.0,1.0,0.5789
2,13,45,300,0.0,1.0,1.0,0.9099,1.0,1.0,1.0,0.561
