condition,split_a,exact,reach_long,reach_short,cut
baseline,1,1.0,1.0,nan,1.0
baseline,4,1.0,1.0,1.0,1.0
baseline,7,1.0,1.0,1.0,1.0
baseline,8,1.0,1.0,1.0,1.0
baseline,10,1.0,1.0,1.0,1.0
baseline,14,0.0,0.9144,1.0,1.0
baseline,17,0.0,0.9608,1.0,0.9977
baseline,20,0.0,0.9948,0.9949,0.9976
zero_attn0,1,1.0,1.0,nan,1.0
zero_attn0,4,0.0,1.0,1.0,0.0
zero_attn0,7,0.0,1.0,1.0,0.0
zero_attn0,8,0.0,1.0,1.0,0.0
zero_attn0,10,0.0,1.0,1.0,0.0
zero_attn0,14,0.0,1.0,1.0,0.0
zero_attn0,17,0.0,1.0,1.0,0.0
zero_attn0,20,0.0,1.0,1.0,0.0
zero_attn1,1,0.0,0.8271,nan,1.0
zero_attn1,4,0.0,0.8154,0.3333,0.9167
zero_attn1,7,0.0,0.8033,0.8889,0.4829
zero_attn1,8,0.0,0.7974,0.8067,0.4369
zero_attn1,10,0.0,0.7873,0.7184,0.3723
zero_attn1,14,0.0,0.7651,0.682,0.3064
zero_attn1,17,0.0,0.7451,0.7037,0.2853
zero_attn1,20,0.0,0.7233,0.7252,0.2793
zero_mlp0,1,0.0,0.9192,nan,0.9556
zero_mlp0,4,0.0,0.9741,1.0,0.0659
zero_mlp0,7,0.0,0.9646,0.6927,0.1338
zero_mlp0,8,0.0,0.9633,0.6948,0.1227
zero_mlp0,10,0.0,0.9432,0.7603,0.1167
zero_mlp0,14,0.0,0.9403,0.8557,0.0896
zero_mlp0,17,0.0,0.9266,0.8907,0.0865
zero_mlp0,20,0.0,0.914,0.9108,0.0849
zero_mlp1,1,0.0,0.9448,nan,0.7002
zero_mlp1,4,0.0,0.9954,1.0,0.3483
zero_mlp1,7,0.0,1.0,1.0,0.0
zero_mlp1,8,0.0,0.9999,1.0,0.0
zero_mlp1,10,0.0,0.9965,1.0,0.0393
zero_mlp1,14,0.0,0.9589,1.0,0.3852
zero_mlp1,17,0.0,0.9781,1.0,0.4704
zero_mlp1,20,0.0,0.9969,0.9966,0.5274
bypass,1,0.0,0.1012,nan,0.9491
bypass,4,0.0,0.1095,0.8333,1.0
bypass,7,0.0,0.1193,0.5238,1.0
bypass,8,0.0,0.123,0.4643,1.0
bypass,10,0.0,0.131,0.3778,1.0
bypass,14,0.0,0.1507,0.2747,1.0
bypass,17,0.0,0.17,0.2279,1.0
bypass,20,0.0,0.1947,0.1947,1.0
