split_a,mode,metric,distance,value,n_pairs
1,random,reach_long_by_dist,1,1.0,36
1,random,reach_long_by_dist,2,1.0,34
1,random,reach_long_by_dist,3,1.0,32
1,random,reach_long_by_dist,4,0.9947,30
1,random,reach_long_by_dist,5,0.9721,28
1,random,reach_long_by_dist,6,0.9404,26
1,random,reach_long_by_dist,7,0.8917,24
1,random,reach_long_by_dist,8,0.858,22
1,random,reach_long_by_dist,9,0.832,20
1,random,reach_long_by_dist,10,0.8206,18
1,random,reach_long_by_dist,11,0.8091,16
1,random,reach_long_by_dist,12,0.7879,14
1,random,reach_long_by_dist,13,0.7879,12
1,random,reach_long_by_dist,14,0.7835,10
1,random,reach_long_by_dist,15,0.7931,8
1,random,reach_long_by_dist,16,0.8267,6
1,random,reach_long_by_dist,17,0.9275,4
1,random,reach_long_by_dist,18,0.9025,2
1,random,exact,,0.005,
1,random,reach_long,,0.916,
1,random,reach_short,,nan,
1,random,cut,,1.0,
1,random,pred_positive_rate,,0.8332,
2,random,reach_long_by_dist,1,1.0,34
2,random,reach_long_by_dist,2,1.0,32
2,random,reach_long_by_dist,3,1.0,30
2,random,reach_long_by_dist,4,0.9991,28
2,random,reach_long_by_dist,5,0.9937,26
2,random,reach_long_by_dist,6,0.9715,24
2,random,reach_long_by_dist,7,0.9448,22
2,random,reach_long_by_dist,8,0.9173,20
2,random,reach_long_by_dist,9,0.8883,18
2,random,reach_long_by_dist,10,0.8844,16
2,random,reach_long_by_dist,11,0.8607,14
2,random,reach_long_by_dist,12,0.7883,12
2,random,reach_long_by_dist,13,0.7415,10
2,random,reach_long_by_dist,14,0.6931,8
2,random,reach_long_by_dist,15,0.6575,6
2,random,reach_long_by_dist,16,0.8638,4
2,random,reach_long_by_dist,17,0.83,2
2,random,exact,,0.01,
2,random,reach_long,,0.9344,
2,random,reach_short,,1.0,
2,random,cut,,1.0,
2,random,pred_positive_rate,,0.7698,
3,random,reach_long_by_dist,1,1.0,32
3,random,reach_long_by_dist,2,0.9998,30
3,random,reach_long_by_dist,3,0.9988,28
3,random,reach_long_by_dist,4,0.9673,26
3,random,reach_long_by_dist,5,0.7571,24
3,random,reach_long_by_dist,6,0.4875,22
3,random,reach_long_by_dist,7,0.3255,20
3,random,reach_long_by_dist,8,0.2317,18
3,random,reach_long_by_dist,9,0.16,16
3,random,reach_long_by_dist,10,0.1,14
3,random,reach_long_by_dist,11,0.0542,12
3,random,reach_long_by_dist,12,0.035,10
3,random,reach_long_by_dist,13,0.0119,8
3,random,reach_long_by_dist,14,0.0017,6
3,random,reach_long_by_dist,15,0.0013,4
3,random,reach_long_by_dist,16,0.0025,2
3,random,exact,,0.0,
3,random,reach_long,,0.5874,
3,random,reach_short,,0.9825,
3,random,cut,,0.9995,
3,random,pred_positive_rate,,0.4643,
4,random,reach_long_by_dist,1,1.0,30
4,random,reach_long_by_dist,2,1.0,28
4,random,reach_long_by_dist,3,1.0,26
4,random,reach_long_by_dist,4,0.9973,24
4,random,reach_long_by_dist,5,0.9409,22
4,random,reach_long_by_dist,6,0.841,20
4,random,reach_long_by_dist,7,0.7208,18
4,random,reach_long_by_dist,8,0.6128,16
4,random,reach_long_by_dist,9,0.5225,14
4,random,reach_long_by_dist,10,0.4017,12
4,random,reach_long_by_dist,11,0.251,10
4,random,reach_long_by_dist,12,0.1556,8
4,random,reach_long_by_dist,13,0.09,6
4,random,reach_long_by_dist,14,0.095,4
4,random,reach_long_by_dist,15,0.1225,2
4,random,exact,,0.0,
4,random,reach_long,,0.772,
4,random,reach_short,,0.9842,
4,random,cut,,0.9944,
4,random,pred_positive_rate,,0.5445,
5,random,reach_long_by_dist,1,1.0,28
5,random,reach_long_by_dist,2,1.0,26
5,random,reach_long_by_dist,3,1.0,24
5,random,reach_long_by_dist,4,0.9939,22
5,random,reach_long_by_dist,5,0.932,20
5,random,reach_long_by_dist,6,0.8536,18
5,random,reach_long_by_dist,7,0.7631,16
5,random,reach_long_by_dist,8,0.6689,14
5,random,reach_long_by_dist,9,0.5683,12
5,random,reach_long_by_dist,10,0.3995,10
5,random,reach_long_by_dist,11,0.2387,8
5,random,reach_long_by_dist,12,0.1217,6
5,random,reach_long_by_dist,13,0.1325,4
5,random,reach_long_by_dist,14,0.21,2
5,random,exact,,0.0,
5,random,reach_long,,0.8088,
5,random,reach_short,,0.9535,
5,random,cut,,0.823,
5,random,pred_positive_rate,,0.5887,
6,random,reach_long_by_dist,1,1.0,26
6,random,reach_long_by_dist,2,1.0,24
6,random,reach_long_by_dist,3,1.0,22
6,random,reach_long_by_dist,4,0.9955,20
6,random,reach_long_by_dist,5,0.9356,18
6,random,reach_long_by_dist,6,0.845,16
6,random,reach_long_by_dist,7,0.7579,14
6,random,reach_long_by_dist,8,0.6467,12
6,random,reach_long_by_dist,9,0.4555,10
6,random,reach_long_by_dist,10,0.2644,8
6,random,reach_long_by_dist,11,0.1592,6
6,random,reach_long_by_dist,12,0.1663,4
6,random,reach_long_by_dist,13,0.2375,2
6,random,exact,,0.0,
6,random,reach_long,,0.8209,
6,random,reach_short,,0.938,
6,random,cut,,0.8046,
6,random,pred_positive_rate,,0.5759,
7,random,reach_long_by_dist,1,1.0,24
7,random,reach_long_by_dist,2,1.0,22
7,random,reach_long_by_dist,3,1.0,20
7,random,reach_long_by_dist,4,0.9936,18
7,random,reach_long_by_dist,5,0.8975,16
7,random,reach_long_by_dist,6,0.7921,14
7,random,reach_long_by_dist,7,0.6775,12
7,random,reach_long_by_dist,8,0.486,10
7,random,reach_long_by_dist,9,0.2694,8
7,random,reach_long_by_dist,10,0.1442,6
7,random,reach_long_by_dist,11,0.175,4
7,random,reach_long_by_dist,12,0.245,2
7,random,exact,,0.0,
7,random,reach_long,,0.8111,
7,random,reach_short,,0.9226,
7,random,cut,,0.8145,
7,random,pred_positive_rate,,0.5476,
8,random,reach_long_by_dist,1,1.0,22
8,random,reach_long_by_dist,2,1.0,20
8,random,reach_long_by_dist,3,1.0,18
8,random,reach_long_by_dist,4,0.9859,16
8,random,reach_long_by_dist,5,0.8604,14
8,random,reach_long_by_dist,6,0.7388,12
8,random,reach_long_by_dist,7,0.523,10
8,random,reach_long_by_dist,8,0.2737,8
8,random,reach_long_by_dist,9,0.1392,6
8,random,reach_long_by_dist,10,0.1512,4
8,random,reach_long_by_dist,11,0.1975,2
8,random,exact,,0.0,
8,random,reach_long,,0.8026,
8,random,reach_short,,0.8952,
8,random,cut,,0.8081,
8,random,pred_positive_rate,,0.5323,
9,random,reach_long_by_dist,1,1.0,20
9,random,reach_long_by_dist,2,1.0,18
9,random,reach_long_by_dist,3,1.0,16
9,random,reach_long_by_dist,4,0.9764,14
9,random,reach_long_by_dist,5,0.8529,12
9,random,reach_long_by_dist,6,0.656,10
9,random,reach_long_by_dist,7,0.3494,8
9,random,reach_long_by_dist,8,0.1542,6
9,random,reach_long_by_dist,9,0.14,4
9,random,reach_long_by_dist,10,0.145,2
9,random,exact,,0.0,
9,random,reach_long,,0.8094,
9,random,reach_short,,0.8728,
9,random,cut,,0.8209,
9,random,pred_positive_rate,,0.5183,
10,random,reach_long_by_dist,1,1.0,18
10,random,reach_long_by_dist,2,1.0,16
10,random,reach_long_by_dist,3,1.0,14
10,random,reach_long_by_dist,4,0.9908,12
10,random,reach_long_by_dist,5,0.8855,10
10,random,reach_long_by_dist,6,0.5531,8
10,random,reach_long_by_dist,7,0.1883,6
10,random,reach_long_by_dist,8,0.1613,4
10,random,reach_long_by_dist,9,0.16,2
10,random,exact,,0.0,
10,random,reach_long,,0.8363,
10,random,reach_short,,0.8382,
